2789 408 341
212 239 -1 1
215 238 -1 1
214 238 -1 1
213 238 -1 1
212 238 -1 1
211 238 -1 1
210 238 -1 1
209 238 -1 1
216 237 -1 1
215 237 -1 1
214 237 -1 1
213 237 -1 1
212 237 -1 1
211 237 -1 1
210 237 -1 1
209 237 -1 1
208 237 -1 1
207 237 -1 1
206 237 -1 1
217 236 -1 1
216 236 -1 1
215 236 -1 1
214 236 -1 1
213 236 -1 1
212 236 -1 1
211 236 -1 1
210 236 -1 1
209 236 -1 1
208 236 -1 1
207 236 -1 1
206 236 -1 1
205 236 -1 1
217 235 -1 1
216 235 -1 1
215 235 -1 1
214 235 -1 1
213 235 -1 1
212 235 -1 1
211 235 -1 1
210 235 -1 1
209 235 -1 1
208 235 -1 1
207 235 -1 1
206 235 -1 1
205 235 -1 1
204 235 -1 1
203 235 -1 1
202 235 -1 1
218 234 -1 1
217 234 -1 1
216 234 -1 1
215 234 -1 1
214 234 -1 1
213 234 -1 1
212 234 -1 1
211 234 -1 1
210 234 -1 1
209 234 -1 1
208 234 -1 1
207 234 -1 1
206 234 -1 1
205 234 -1 1
204 234 -1 1
203 234 -1 1
202 234 -1 1
201 234 -1 1
200 234 -1 1
199 234 -1 1
198 234 -1 1
218 233 -1 1
217 233 -1 1
216 233 -1 1
215 233 -1 1
214 233 -1 1
213 233 -1 1
212 233 -1 1
211 233 -1 1
210 233 -1 1
209 233 -1 1
208 233 -1 1
207 233 -1 1
206 233 -1 1
205 233 -1 1
204 233 -1 1
203 233 -1 1
202 233 -1 1
201 233 -1 1
200 233 -1 1
199 233 -1 1
198 233 -1 1
197 233 -1 1
196 233 -1 1
195 233 -1 1
218 232 -1 1
217 232 -1 1
216 232 -1 1
215 232 -1 1
214 232 -1 1
213 232 -1 1
212 232 -1 1
211 232 -1 1
210 232 -1 1
209 232 -1 1
208 232 -1 1
207 232 -1 1
206 232 -1 1
205 232 -1 1
204 232 -1 1
203 232 -1 1
202 232 -1 1
201 232 -1 1
200 232 -1 1
199 232 -1 1
198 232 -1 1
197 232 -1 1
196 232 -1 1
195 232 -1 1
194 232 -1 1
193 232 -1 1
192 232 -1 1
191 232 -1 1
190 232 -1 1
188 232 -1 1
187 232 -1 1
219 231 -1 1
218 231 -1 1
217 231 -1 1
216 231 -1 1
215 231 -1 1
214 231 -1 1
213 231 -1 1
212 231 -1 1
211 231 -1 1
210 231 -1 1
209 231 -1 1
208 231 -1 1
207 231 -1 1
206 231 -1 1
205 231 -1 1
204 231 -1 1
203 231 -1 1
202 231 -1 1
201 231 -1 1
200 231 -1 1
199 231 -1 1
198 231 -1 1
197 231 -1 1
196 231 -1 1
195 231 -1 1
194 231 -1 1
193 231 -1 1
192 231 -1 1
191 231 -1 1
190 231 -1 1
189 231 -1 1
188 231 -1 1
187 231 -1 1
186 231 -1 1
185 231 -1 1
184 231 -1 1
219 230 -1 1
218 230 -1 1
217 230 -1 1
216 230 -1 1
215 230 -1 1
214 230 -1 1
213 230 -1 1
212 230 -1 1
211 230 -1 1
210 230 -1 1
209 230 -1 1
208 230 -1 1
