2781 408 341
282 189 -1 0
285 188 -1 0
284 188 -1 0
283 188 -1 0
282 188 -1 0
281 188 -1 0
280 188 -1 0
279 188 -1 0
286 187 -1 0
285 187 -1 0
284 187 -1 0
283 187 -1 0
282 187 -1 0
281 187 -1 0
280 187 -1 0
279 187 -1 0
278 187 -1 0
286 186 -1 0
285 186 -1 0
284 186 -1 0
283 186 -1 0
282 186 -1 0
281 186 -1 0
280 186 -1 0
279 186 -1 0
278 186 -1 0
286 185 -1 0
285 185 -1 0
284 185 -1 0
283 185 -1 0
282 185 -1 0
281 185 -1 0
280 185 -1 0
279 185 -1 0
278 185 -1 0
287 184 -1 0
286 184 -1 0
285 184 -1 0
284 184 -1 0
283 184 -1 0
282 184 -1 0
281 184 -1 0
280 184 -1 0
279 184 -1 0
278 184 -1 0
277 184 -1 0
287 183 -1 0
286 183 -1 0
285 183 -1 0
284 183 -1 0
283 183 -1 0
282 183 -1 0
281 183 -1 0
280 183 -1 0
279 183 -1 0
278 183 -1 0
277 183 -1 0
287 182 -1 0
286 182 -1 0
285 182 -1 0
284 182 -1 0
283 182 -1 0
282 182 -1 0
281 182 -1 0
280 182 -1 0
279 182 -1 0
278 182 -1 0
277 182 -1 0
287 181 -1 0
286 181 -1 0
285 181 -1 0
284 181 -1 0
283 181 -1 0
282 181 -1 0
281 181 -1 0
280 181 -1 0
279 181 -1 0
278 181 -1 0
277 181 -1 0
287 180 -1 0
286 180 -1 0
285 180 -1 0
284 180 -1 0
283 180 -1 0
282 180 -1 0
281 180 -1 0
280 180 -1 0
279 180 -1 0
278 180 -1 0
277 180 -1 0
287 179 -1 0
286 179 -1 0
285 179 -1 0
284 179 -1 0
283 179 -1 0
282 179 -1 0
281 179 -1 0
280 179 -1 0
279 179 -1 0
278 179 -1 0
277 179 -1 0
287 178 -1 0
286 178 -1 0
285 178 -1 0
284 178 -1 0
283 178 -1 0
282 178 -1 0
281 178 -1 0
280 178 -1 0
279 178 -1 0
278 178 -1 0
277 178 -1 0
287 177 -1 0
286 177 -1 0
285 177 -1 0
284 177 -1 0
283 177 -1 0
282 177 -1 0
281 177 -1 0
280 177 -1 0
279 177 -1 0
278 177 -1 0
277 177 -1 0
287 176 -1 0
286 176 -1 0
285 176 -1 0
284 176 -1 0
283 176 -1 0
282 176 -1 0
281 176 -1 0
280 176 -1 0
279 176 -1 0
278 176 -1 0
277 176 -1 0
286 175 -1 0
285 175 -1 0
284 175 -1 0
283 175 -1 0
282 175 -1 0
281 175 -1 0
280 175 -1 0
279 175 -1 0
278 175 -1 0
277 175 -1 0
287 174 -1 0
286 174 -1 0
285 174 -1 0
284 174 -1 0
283 174 -1 0
282 174 -1 0
281 174 -1 0
280 174 -1 0
279 174 -1 0
278 174 -1 0
277 174 -1 0
286 173 -1 0
285 173 -1 0
284 173 -1 0
283 173 -1 0
282 173 -1 0
281 173 -1 0
280 173 -1 0
279 173 -1 0
278 173 -1 0
277 173 -1 0
276 173 -1 0
286 172 -1 0
285 172 -1 0
284 172 -1 0
283 172 -1 0
282 172 -1 0
281 172 -1 0
280 172 -1 0
279 172 -1 0
278 172 -1 0
277 172 -1 0
276 172 -1 0
286 171 -1 0
285 171 -1 0
284 171 -1 0
283 171 -1 0
282 171 -1 0
281 171 -1 0
280 171 -1 0
279 171 -1 0
278 171 -1 0
277 171 -1 0
276 171 -1 0
286 170 -1 0
285 170 -1 0
284 170 -1 0
283 170 -1 0
282 170 -1 0
281 170 -1 0
280 170 -1 0
279 170 -1 0
278 170 -1 0
277 170 -1 0
276 170 -1 0
286 169 -1 0
285 169 -1 0
284 169 -1 0
283 169 -1 0
282 169 -1 0
281 169 -1 0
280 169 -1 0
279 169 -1 0
278 169 -1 0
277 169 -1 0
276 169 -1 0
285 168 -1 0
284 168 -1 0
283 168 -1 0
282 168 -1 0
281 168 -1 0
280 168 -1 0
279 168 -1 0
278 168 -1 0
277 168 -1 0
286 167 -1 0
285 167 -1 0
284 167 -1 0
283 167 -1 0
282 167 -1 0
281 167 -1 0
280 167 -1 0
279 167 -1 0
278 167 -1 0
277 167 -1 0
276 167 -1 0
285 166 -1 0
284 166 -1 0
283 166 -1 0
282 166 -1 0
281 166 -1 0
280 166 -1 0
279 166 -1 0
278 166 -1 0
277 166 -1 0
286 165 -1 0
285 165 -1 0
284 165 -1 0
283 165 -1 0
282 165 -1 0
281 165 -1 0
280 165 -1 0
279 165 -1 0
278 165 -1 0
277 165 -1 0
276 165 -1 0
286 164 -1 0
285 164 -1 0
284 164 -1 0
283 164 -1 0
282 164 -1 0
281 164 -1 0
280 164 -1 0
279 164 -1 0
278 164 -1 0
277 164 -1 0
276 164 -1 0
285 163 -1 0
284 163 -1 0
283 163 -1 0
282 163 -1 0
281 163 -1 0
280 163 -1 0
279 163 -1 0
278 163 -1 0
277 163 -1 0
286 162 -1 0
285 162 -1 0
284 162 -1 0
283 162 -1 0
282 162 -1 0
281 162 -1 0
280 162 -1 0
279 162 -1 0
278 162 -1 0
277 162 -1 0
276 162 -1 0
176 162 -1 1
286 161 -1 0
285 161 -1 0
284 161 -1 0
283 161 -1 0
282 161 -1 0
281 161 -1 0
280 161 -1 0
279 161 -1 0
278 161 -1 0
277 161 -1 0
276 161 -1 0
179 161 -1 1
178 161 -1 1
177 161 -1 1
176 161 -1 1
175 161 -1 1
174 161 -1 1
173 161 -1 1
286 160 -1 0
285 160 -1 0
284 160 -1 0
283 160 -1 0
282 160 -1 0
281 160 -1 0
280 160 -1 0
279 160 -1 0
278 160 -1 0
277 160 -1 0
276 160 -1 0
180 160 -1 1
179 160 -1 1
178 160 -1 1
177 160 -1 1
176 160 -1 1
175 160 -1 1
174 160 -1 1
173 160 -1 1
172 160 -1 1
285 159 -1 0
284 159 -1 0
283 159 -1 0
282 159 -1 0
281 159 -1 0
280 159 -1 0
279 159 -1 0
278 159 -1 0
277 159 -1 0
181 159 -1 1
180 159 -1 1
179 159 -1 1
178 159 -1 1
177 159 -1 1
176 159 -1 1
175 159 -1 1
174 159 -1 1
173 159 -1 1
172 159 -1 1
285 158 -1 0
284 158 -1 0
283 158 -1 0
282 158 -1 0
281 158 -1 0
280 158 -1 0
279 158 -1 0
278 158 -1 0
277 158 -1 0
182 158 -1 1
181 158 -1 1
180 158 -1 1
179 158 -1 1
178 158 -1 1
177 158 -1 1
176 158 -1 1
175 158 -1 1
174 158 -1 1
173 158 -1 1
172 158 -1 1
286 157 -1 0
285 157 -1 0
284 157 -1 0
283 157 -1 0
282 157 -1 0
281 157 -1 0
280 157 -1 0
279 157 -1 0
278 157 -1 0
277 157 -1 0
276 157 -1 0
184 157 -1 1
183 157 -1 1
182 157 -1 1
181 157 -1 1
180 157 -1 1
179 157 -1 1
178 157 -1 1
177 157 -1 1
176 157 -1 1
175 157 -1 1
174 157 -1 1
173 157 -1 1
172 157 -1 1
171 157 -1 1
286 156 -1 0
285 156 -1 0
284 156 -1 0
283 156 -1 0
282 156 -1 0
281 156 -1 0
280 156 -1 0
279 156 -1 0
278 156 -1 0
277 156 -1 0
276 156 -1 0
186 156 -1 1
185 156 -1 1
184 156 -1 1
183 156 -1 1
182 156 -1 1
181 156 -1 1
180 156 -1 1
179 156 -1 1
178 156 -1 1
177 156 -1 1
176 156 -1 1
175 156 -1 1
174 156 -1 1
173 156 -1 1
172 156 -1 1
171 156 -1 1
286 155 -1 0
285 155 -1 0
