2194 408 341
155 217 -1 0
154 217 -1 0
153 217 -1 0
158 216 -1 0
157 216 -1 0
156 216 -1 0
155 216 -1 0
154 216 -1 0
153 216 -1 0
152 216 -1 0
151 216 -1 0
150 216 -1 0
159 215 -1 0
158 215 -1 0
157 215 -1 0
156 215 -1 0
155 215 -1 0
154 215 -1 0
153 215 -1 0
152 215 -1 0
151 215 -1 0
150 215 -1 0
149 215 -1 0
148 215 -1 0
159 214 -1 0
158 214 -1 0
157 214 -1 0
156 214 -1 0
155 214 -1 0
154 214 -1 0
153 214 -1 0
152 214 -1 0
151 214 -1 0
150 214 -1 0
149 214 -1 0
148 214 -1 0
147 214 -1 0
146 214 -1 0
159 213 -1 0
158 213 -1 0
157 213 -1 0
156 213 -1 0
155 213 -1 0
154 213 -1 0
153 213 -1 0
152 213 -1 0
151 213 -1 0
150 213 -1 0
149 213 -1 0
148 213 -1 0
147 213 -1 0
146 213 -1 0
145 213 -1 0
160 212 -1 0
159 212 -1 0
158 212 -1 0
157 212 -1 0
156 212 -1 0
155 212 -1 0
154 212 -1 0
153 212 -1 0
152 212 -1 0
151 212 -1 0
150 212 -1 0
149 212 -1 0
148 212 -1 0
147 212 -1 0
146 212 -1 0
145 212 -1 0
144 212 -1 0
159 211 -1 0
158 211 -1 0
157 211 -1 0
156 211 -1 0
155 211 -1 0
154 211 -1 0
153 211 -1 0
152 211 -1 0
151 211 -1 0
150 211 -1 0
149 211 -1 0
148 211 -1 0
147 211 -1 0
146 211 -1 0
145 211 -1 0
144 211 -1 0
143 211 -1 0
159 210 -1 0
158 210 -1 0
157 210 -1 0
156 210 -1 0
155 210 -1 0
154 210 -1 0
153 210 -1 0
152 210 -1 0
151 210 -1 0
150 210 -1 0
149 210 -1 0
148 210 -1 0
147 210 -1 0
146 210 -1 0
145 210 -1 0
144 210 -1 0
143 210 -1 0
159 209 -1 0
158 209 -1 0
157 209 -1 0
156 209 -1 0
155 209 -1 0
154 209 -1 0
153 209 -1 0
152 209 -1 0
151 209 -1 0
150 209 -1 0
149 209 -1 0
148 209 -1 0
147 209 -1 0
146 209 -1 0
145 209 -1 0
144 209 -1 0
143 209 -1 0
142 209 -1 0
158 208 -1 0
157 208 -1 0
156 208 -1 0
155 208 -1 0
154 208 -1 0
153 208 -1 0
152 208 -1 0
151 208 -1 0
150 208 -1 0
149 208 -1 0
148 208 -1 0
147 208 -1 0
146 208 -1 0
145 208 -1 0
144 208 -1 0
143 208 -1 0
142 208 -1 0
141 208 -1 0
156 207 -1 0
155 207 -1 0
154 207 -1 0
153 207 -1 0
152 207 -1 0
151 207 -1 0
150 207 -1 0
149 207 -1 0
148 207 -1 0
147 207 -1 0
146 207 -1 0
145 207 -1 0
144 207 -1 0
143 207 -1 0
142 207 -1 0
141 207 -1 0
154 206 -1 0
153 206 -1 0
152 206 -1 0
151 206 -1 0
150 206 -1 0
149 206 -1 0
148 206 -1 0
147 206 -1 0
146 206 -1 0
145 206 -1 0
144 206 -1 0
143 206 -1 0
142 206 -1 0
141 206 -1 0
140 206 -1 0
152 205 -1 0
151 205 -1 0
150 205 -1 0
149 205 -1 0
148 205 -1 0
147 205 -1 0
146 205 -1 0
145 205 -1 0
144 205 -1 0
143 205 -1 0
142 205 -1 0
141 205 -1 0
140 205 -1 0
139 205 -1 0
151 204 -1 0
150 204 -1 0
149 204 -1 0
148 204 -1 0
147 204 -1 0
146 204 -1 0
145 204 -1 0
144 204 -1 0
143 204 -1 0
142 204 -1 0
141 204 -1 0
140 204 -1 0
139 204 -1 0
150 203 -1 0
149 203 -1 0
148 203 -1 0
147 203 -1 0
146 203 -1 0
145 203 -1 0
144 203 -1 0
143 203 -1 0
142 203 -1 0
141 203 -1 0
140 203 -1 0
139 203 -1 0
138 203 -1 0
150 202 -1 0
149 202 -1 0
148 202 -1 0
147 202 -1 0
146 202 -1 0
145 202 -1 0
144 202 -1 0
143 202 -1 0
142 202 -1 0
141 202 -1 0
140 202 -1 0
139 202 -1 0
138 202 -1 0
149 201 -1 0
148 201 -1 0
147 201 -1 0
146 201 -1 0
145 201 -1 0
144 201 -1 0
143 201 -1 0
142 201 -1 0
141 201 -1 0
140 201 -1 0
139 201 -1 0
138 201 -1 0
137 201 -1 0
136 201 -1 0
135 201 -1 0
149 200 -1 0
148 200 -1 0
147 200 -1 0
146 200 -1 0
145 200 -1 0
144 200 -1 0
143 200 -1 0
142 200 -1 0
141 200 -1 0
140 200 -1 0
139 200 -1 0
138 200 -1 0
137 200 -1 0
136 200 -1 0
135 200 -1 0
134 200 -1 0
149 199 -1 0
148 199 -1 0
147 199 -1 0
146 199 -1 0
145 199 -1 0
144 199 -1 0
143 199 -1 0
142 199 -1 0
141 199 -1 0
140 199 -1 0
139 199 -1 0
138 199 -1 0
137 199 -1 0
136 199 -1 0
