2031 240 240
138 160 -1 0
141 159 -1 0
140 159 -1 0
139 159 -1 0
138 159 -1 0
137 159 -1 0
136 159 -1 0
135 159 -1 0
142 158 -1 0
141 158 -1 0
140 158 -1 0
139 158 -1 0
138 158 -1 0
137 158 -1 0
136 158 -1 0
135 158 -1 0
134 158 -1 0
142 157 -1 0
141 157 -1 0
140 157 -1 0
139 157 -1 0
138 157 -1 0
137 157 -1 0
136 157 -1 0
135 157 -1 0
134 157 -1 0
142 156 -1 0
141 156 -1 0
140 156 -1 0
139 156 -1 0
138 156 -1 0
137 156 -1 0
136 156 -1 0
135 156 -1 0
134 156 -1 0
133 156 -1 0
143 155 -1 0
142 155 -1 0
141 155 -1 0
140 155 -1 0
139 155 -1 0
138 155 -1 0
137 155 -1 0
136 155 -1 0
135 155 -1 0
134 155 -1 0
133 155 -1 0
143 154 -1 0
142 154 -1 0
141 154 -1 0
140 154 -1 0
139 154 -1 0
138 154 -1 0
137 154 -1 0
136 154 -1 0
135 154 -1 0
134 154 -1 0
133 154 -1 0
143 153 -1 0
142 153 -1 0
141 153 -1 0
140 153 -1 0
139 153 -1 0
138 153 -1 0
137 153 -1 0
136 153 -1 0
135 153 -1 0
134 153 -1 0
133 153 -1 0
132 153 -1 0
142 152 -1 0
141 152 -1 0
140 152 -1 0
139 152 -1 0
138 152 -1 0
137 152 -1 0
136 152 -1 0
135 152 -1 0
134 152 -1 0
133 152 -1 0
132 152 -1 0
142 151 -1 0
141 151 -1 0
140 151 -1 0
139 151 -1 0
138 151 -1 0
137 151 -1 0
136 151 -1 0
135 151 -1 0
134 151 -1 0
133 151 -1 0
132 151 -1 0
142 150 -1 0
141 150 -1 0
140 150 -1 0
139 150 -1 0
138 150 -1 0
137 150 -1 0
136 150 -1 0
135 150 -1 0
134 150 -1 0
133 150 -1 0
132 150 -1 0
142 149 -1 0
141 149 -1 0
140 149 -1 0
139 149 -1 0
138 149 -1 0
137 149 -1 0
136 149 -1 0
135 149 -1 0
134 149 -1 0
133 149 -1 0
132 149 -1 0
142 148 -1 0
141 148 -1 0
140 148 -1 0
139 148 -1 0
138 148 -1 0
137 148 -1 0
136 148 -1 0
135 148 -1 0
134 148 -1 0
133 148 -1 0
132 148 -1 0
131 148 -1 0
